content,label
"Phạm vi điều chỉnh: Luật này quy định về việc thành lập, tổ chức quản lý, tổ chức lại, giải thể và hoạt động có liên quan của doanh nghiệp, bao gồm công ty trách nhiệm hữu hạn, công ty cổ phần, công ty hợp danh và doanh nghiệp tư nhân; quy định về nhóm công ty.",LUẬT DOANH NGHIỆP
"Đối tượng áp dụng: Doanh nghiệp. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức quản lý, tổ chức lại, giải thể và hoạt động có liên quan của doanh nghiệp.",LUẬT DOANH NGHIỆP
"Áp dụng Luật Doanh nghiệp và luật khác. Trường hợp luật khác có quy định đặc thù về việc thành lập, tổ chức quản lý, tổ chức lại, giải thể và hoạt động có liên quan của doanh nghiệp thì áp dụng quy định của luật đó.",LUẬT DOANH NGHIỆP
"Bảo đảm của Nhà nước đối với doanh nghiệp và chủ sở hữu doanh nghiệp. Nhà nước công nhận sự tồn tại lâu dài và phát triển của các loại hình doanh nghiệp được quy định tại Luật này; bảo đảm bình đẳng trước pháp luật của các doanh nghiệp không phân biệt hình thức sở hữu và thành phần kinh tế; công nhận tính sinh lợi hợp pháp của hoạt động kinh doanh.Nhà nước công nhận và bảo hộ quyền sở hữu tài sản, vốn đầu tư, thu nhập, quyền và lợi ích hợp pháp khác của doanh nghiệp và chủ sở hữu doanh nghiệp. Tài sản và vốn đầu tư hợp pháp của doanh nghiệp và chủ sở hữu doanh nghiệp không bị quốc hữu hóa, không bị tịch thu bằng biện pháp hành chính. Trường hợp thật cần thiết, Nhà nước trưng mua hoặc trưng dụng tài sản của doanh nghiệp thì được thanh toán, bồi thường theo quy định của pháp luật về trưng mua, trưng dụng tài sản. Việc thanh toán, bồi thường phải bảo đảm lợi ích của doanh nghiệp và không phân biệt đối xử giữa các loại hình doanh nghiệp.",LUẬT DOANH NGHIỆP
"Tổ chức chính trị, tổ chức chính trị - xã hội và tổ chức đại diện người lao động tại cơ sở trong doanh nghiệp.  Tổ chức chính trị, tổ chức chính trị - xã hội và tổ chức đại diện người lao động tại cơ sở trong doanh nghiệp hoạt động theo quy định của Hiến pháp, pháp luật và điều lệ của tổ chức. Doanh nghiệp có nghĩa vụ tôn trọng và không được cản trở, gây khó khăn cho việc thành lập tổ chức chính trị, tổ chức chính trị - xã hội và tổ chức đại diện người lao động tại cơ sở trong doanh nghiệp; không được cản trở, gây khó khăn cho người lao động tham gia hoạt động trong các tổ chức này. ",LUẬT DOANH NGHIỆP
"Quyền của doanh nghiệp. Tự do kinh doanh ngành, nghề mà luật không cấm.Tự chủ kinh doanh và lựa chọn hình thức tổ chức kinh doanh; chủ động lựa chọn ngành, nghề, địa bàn, hình thức kinh doanh; chủ động điều chỉnh quy mô và ngành, nghề kinh doanh. Lựa chọn hình thức, phương thức huy động, phân bổ và sử dụng vốn.Tự do tìm kiếm thị trường, khách hàng và ký kết hợp đồng.  Kinh doanh xuất khẩu, nhập khẩu.Tuyển dụng, thuê và sử dụng lao động theo quy định của pháp luật về lao động.Chủ động ứng dụng khoa học và công nghệ để nâng cao hiệu quả kinh doanh và khả năng cạnh tranh; được bảo hộ quyền sở hữu trí tuệ theo quy định của pháp luật về sở hữu trí tuệ.Chiếm hữu, sử dụng, định đoạt tài sản của doanh nghiệp.Từ chối yêu cầu của cơ quan, tổ chức, cá nhân về cung cấp nguồn lực không theo quy định của pháp luật.Khiếu nại, tham gia tố tụng theo quy định của pháp luật.Quyền khác theo quy định của pháp luật.",LUẬT DOANH NGHIỆP
"Nghĩa vụ của doanh nghiệp. Doanh nghiệp xã hội phải đáp ứng các tiêu chí sau đây:Là doanh nghiệp được đăng ký thành lập theo quy định của Luật này;Mục tiêu hoạt động nhằm giải quyết vấn đề xã hội, môi trường vì lợi ích cộng đồng;Sử dụng ít nhất 51% tổng lợi nhuận sau thuế hằng năm của doanh nghiệp để tái đầu tư nhằm thực hiện mục tiêu đã đăng ký.Ngoài quyền và nghĩa vụ của doanh nghiệp theo quy định của Luật này, doanh nghiệp xã hội có quyền và nghĩa vụ sau đây:Chủ sở hữu, người quản lý doanh nghiệp xã hội được xem xét, tạo thuận lợi và hỗ trợ trong việc cấp giấy phép, chứng chỉ và giấy chứng nhận có liên quan theo quy định của pháp luật;Được huy động, nhận tài trợ từ cá nhân, doanh nghiệp, tổ chức phi chính phủ và tổ chức khác của Việt Nam, nước ngoài để bù đắp chi phí quản lý, chi phí hoạt động của doanh nghiệp; Duy trì mục tiêu hoạt động và điều kiện quy định tại điểm b và điểm c khoản 1 Điều này trong suốt quá trình hoạt động;Không được sử dụng các khoản tài trợ huy động được cho mục đích khác ngoài bù đắp chi phí quản lý và chi phí hoạt động để giải quyết vấn đề xã hội, môi trường mà doanh nghiệp đã đăng ký;Trường hợp được nhận các ưu đãi, hỗ trợ, doanh nghiệp xã hội phải định kỳ hằng năm báo cáo cơ quan có thẩm quyền về tình hình hoạt động của doanh nghiệp.Doanh nghiệp xã hội phải thông báo với cơ quan có thẩm quyền khi chấm dứt thực hiện mục tiêu xã hội, môi trường hoặc không sử dụng lợi nhuận để tái đầu tư theo quy định tại điểm b và điểm khoản 1 Điều này. Nhà nước có chính sách khuyến khích, hỗ trợ và thúc đẩy phát triển doanh nghiệp xã hội.Chính phủ quy định chi tiết Điều này.",LUẬT DOANH NGHIỆP
"Chế độ lưu giữ tài liệu của doanh nghiệp. Tùy theo loại hình, doanh nghiệp phải lưu giữ các tài liệu sau đây:Điều lệ công ty; quy chế quản lý nội bộ của công ty; sổ đăng ký thành viên hoặc sổ đăng ký cổ đông;Văn bằng bảo hộ quyền sở hữu công nghiệp; giấy chứng nhận đăng ký chất lượng sản phẩm, hàng hóa, dịch vụ; giấy phép và giấy chứng nhận khác;Tài liệu, giấy tờ xác nhận quyền sở hữu tài sản của công ty;Phiếu biểu quyết, biên bản kiểm phiếu, biên bản họp Hội đồng thành viên, Đại hội đồng cổ đông, Hội đồng quản trị; các quyết định của doanh nghiệp;Bản cáo bạch để chào bán hoặc niêm yết chứng khoán;Báo cáo của Ban kiểm soát, kết luận của cơ quan thanh tra, kết luận của tổ chức kiểm toán; Sổ kế toán, chứng từ kế toán, báo cáo tài chính hằng năm. Doanh nghiệp phải lưu giữ các tài liệu quy định tại khoản 1 Điều này tại trụ sở chính hoặc địa điểm khác được quy định trong Điều lệ công ty; thời hạn lưu giữ thực hiện theo quy định của pháp luật.",LUẬT DOANH NGHIỆP
"Người đại diện theo pháp luật của doanh nghiệp. Người đại diện theo pháp luật của doanh nghiệp là cá nhân đại diện cho doanh nghiệp thực hiện các quyền và nghĩa vụ phát sinh từ giao dịch của doanh nghiệp, đại diện cho doanh nghiệp với tư cách người yêu cầu giải quyết việc dân sự, nguyên đơn, bị đơn, người có quyền lợi, nghĩa vụ liên quan trước Trọng tài, Tòa án và các quyền, nghĩa vụ khác theo quy định của pháp luật. Công ty trách nhiệm hữu hạn và công ty cổ phần có thể có một hoặc nhiều người đại diện theo pháp luật. Điều lệ công ty quy định cụ thể số lượng, chức danh quản lý và quyền, nghĩa vụ của người đại diện theo pháp luật của doanh nghiệp. Nếu công ty có nhiều hơn một người đại diện theo pháp luật thì Điều lệ công ty quy định cụ thể quyền, nghĩa vụ của từng người đại diện theo pháp luật. Trường hợp việc phân chia quyền, nghĩa vụ của từng người đại diện theo pháp luật chưa được quy định rõ trong Điều lệ công ty thì mỗi người đại diện theo pháp luật của công ty đều là đại diện đủ thẩm quyền của doanh nghiệp trước bên thứ ba; tất cả người đại diện theo pháp luật phải chịu trách nhiệm liên đới đối với thiệt hại gây ra cho doanh nghiệp theo quy định của pháp luật về dân sự và quy định khác của pháp luật có liên quan. Doanh nghiệp phải bảo đảm luôn có ít nhất một người đại diện theo pháp luật cư trú tại Việt Nam. Khi chỉ còn lại một người đại diện theo pháp luật cư trú tại Việt Nam thì người này khi xuất cảnh khỏi Việt Nam phải ủy quyền bằng văn bản cho cá nhân khác cư trú tại Việt Nam thực hiện quyền và nghĩa vụ của người đại diện theo pháp luật. Trường hợp này, người đại diện theo pháp luật vẫn phải chịu trách nhiệm về việc thực hiện quyền và nghĩa vụ đã ủy quyền. Trường hợp hết thời hạn ủy quyền theo quy định tại khoản 3 Điều này mà người đại diện theo pháp luật của doanh nghiệp chưa trở lại Việt Nam và không có ủy quyền khác thì thực hiện theo quy định sau đây:  Người được ủy quyền tiếp tục thực hiện các quyền và nghĩa vụ của người đại diện theo pháp luật của doanh nghiệp tư nhân cho đến khi người đại diện theo pháp luật của doanh nghiệp trở lại làm việc tại doanh nghiệp; Người được ủy quyền tiếp tục thực hiện các quyền và nghĩa vụ của người đại diện theo pháp luật của công ty trách nhiệm hữu hạn, công ty cổ phần, công ty hợp danh cho đến khi người đại diện theo pháp luật của công ty trở lại làm việc tại công ty hoặc cho đến khi chủ sở hữu công ty, Hội đồng thành viên, Hội đồng quản trị quyết định cử người khác làm người đại diện theo pháp luật của doanh nghiệp. Trừ trường hợp quy định tại khoản 6 Điều này, đối với doanh nghiệp chỉ còn một người đại diện theo pháp luật và người này vắng mặt tại Việt Nam quá 30 ngày mà không ủy quyền cho người khác thực hiện các quyền và nghĩa vụ của người đại diện theo pháp luật của doanh nghiệp hoặc chết, mất tích, đang bị truy cứu trách nhiệm hình sự, bị tạm giam, đang chấp hành hình phạt tù, đang chấp hành biện pháp xử lý hành chính tại cơ sở cai nghiện bắt buộc, cơ sở giáo dục bắt buộc, bị hạn chế hoặc mất năng lực hành vi dân sự, có khó khăn trong nhận thức, làm chủ hành vi, bị Tòa án cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định thì chủ sở hữu công ty, Hội đồng thành viên, Hội đồng quản trị cử người khác làm người đại diện theo pháp luật của công ty. Đối với công ty trách nhiệm hữu hạn có hai thành viên, nếu có thành viên là cá nhân làm người đại diện theo pháp luật của công ty chết, mất tích, đang bị truy cứu trách nhiệm hình sự, bị tạm giam, đang chấp hành hình phạt tù, đang chấp hành biện pháp xử lý hành chính tại cơ sở cai nghiện bắt buộc, cơ sở giáo dục bắt buộc, trốn khỏi nơi cư trú, bị hạn chế hoặc mất năng lực hành vi dân sự, có khó khăn trong nhận thức, làm chủ hành vi, bị Tòa án cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định thì thành viên còn lại đương nhiên làm người đại diện theo pháp luật của công ty cho đến khi có quyết định mới của Hội đồng thành viên về người đại diện theo pháp luật của công ty. Tòa án, cơ quan có thẩm quyền tiến hành tố tụng khác có quyền chỉ định người đại diện theo pháp luật tham gia tố tụng theo quy định của pháp luật.",LUẬT DOANH NGHIỆP
"Trách nhiệm của người đại diện theo pháp luật của doanh nghiệp. Người đại diện theo pháp luật của doanh nghiệp có trách nhiệm sau đây: 1. Người đại diện theo pháp luật của doanh nghiệp có trách nhiệm sau đây:a) Thực hiện quyền và nghĩa vụ được giao một cách trung thực, cẩn trọng, tốt nhất nhằm bảo đảm lợi ích hợp pháp của doanh nghiệp; b) Trung thành với lợi ích của doanh nghiệp; không lạm dụng địa vị, chức vụ và sử dụng thông tin, bí quyết, cơ hội kinh doanh, tài sản khác của doanh nghiệp để tư lợi hoặc phục vụ lợi ích của tổ chức, cá nhân khác; c) Thông báo kịp thời, đầy đủ, chính xác cho doanh nghiệp về doanh nghiệp mà mình, người có liên quan của mình làm chủ hoặc có cổ phần, phần vốn góp theo quy định của Luật này. 2. Người đại diện theo pháp luật của doanh nghiệp chịu trách nhiệm cá nhân đối với thiệt hại cho doanh nghiệp do vi phạm trách nhiệm quy định tại khoản 1 Điều này.",LUẬT DOANH NGHIỆP
