content,label
"Điều 1. Phạm vi điều chỉnh. Luật này quy định về phòng, chống ma túy; quản lý người sử dụng trái phép chất ma túy; cai nghiện ma túy; trách nhiệm của cá nhân, gia đình, cơ quan, tổ chức trong phòng, chống ma túy; quản lý nhà nước và hợp tác quốc tế về phòng, chống ma túy.","LUẬT PHÒNG, CHỐNG MA TÚY"
"Điều 2. Giải thích từ ngữ. Trong Luật này, các từ ngữ dưới đây được hiểu như sau: 1. Chất ma túy là chất gây nghiện, chất hướng thần được quy định trong danh mục chất ma túy do Chính phủ ban hành. 2. Chất gây nghiện là chất kích thích hoặc ức chế thần kinh, dễ gây tình trạng nghiện đối với người sử dụng. 3. Chất hướng thần là chất kích thích hoặc ức chế thần kinh hoặc gây ảo giác, nếu sử dụng nhiều lần có thể dẫn tới tình trạng nghiện đối với người sử dụng. 4. Tiền chất là hóa chất không thể thiếu được trong quá trình điều chế, sản xuất chất ma túy được quy định trong danh mục tiền chất do Chính phủ ban hành. 5. Thuốc thú y có chứa chất ma túy, tiền chất là thuốc thú y có chứa các chất được quy định tại các khoản 2, 3 và 4 của Điều này. 6. Cây có chứa chất ma túy là cây thuốc phiện, cây côca, cây cần sa và các loại cây khác có chứa chất ma túy do Chính phủ quy định. 7. Phòng, chống ma túy là phòng ngừa, ngăn chặn, đấu tranh chống tội phạm và tệ nạn ma túy; kiểm soát các hoạt động hợp pháp liên quan đến ma túy. 8. Tệ nạn ma túy là việc sử dụng trái phép chất ma túy, nghiện ma túy và các hành vi vi phạm pháp luật về ma túy mà chưa đến mức hoặc không bị truy cứu trách nhiệm hình sự. 9. Kiểm soát các hoạt động hợp pháp liên quan đến ma túy là việc cho phép, theo dõi, kiểm tra, giám sát các hoạt động hợp pháp liên quan đến ma túy và phòng ngừa, ngăn chặn việc lợi dụng các hoạt động đó vào mục đích khác. 10. Người sử dụng trái phép chất ma túy là người có hành vi sử dụng chất ma túy mà không được sự cho phép của người hoặc cơ quan chuyên môn có thẩm quyền và xét nghiệm chất ma túy trong cơ thể có kết quả dương tính. 11. Xét nghiệm chất ma túy trong cơ thể là việc thực hiện các kỹ thuật chuyên môn nhằm xác định chất ma túy trong cơ thể thông qua mẫu nước tiểu, mẫu máu hoặc các mẫu vật khác của cơ thể người. 12. Người nghiện ma túy là người sử dụng chất ma túy, thuốc gây nghiện, thuốc hướng thần và bị lệ thuộc vào các chất này. 13. Cai nghiện ma túy là quá trình thực hiện các hoạt động hỗ trợ về y tế, tâm lý, xã hội, giúp người nghiện ma túy dừng sử dụng chất ma túy, thuốc gây nghiện, thuốc hướng thần, phục hồi thể chất, tinh thần, nâng cao nhận thức, thay đổi hành vi để chấm dứt việc sử dụng trái phép các chất này. 14. Cơ sở cai nghiện ma túy là cơ sở được thành lập để thực hiện đầy đủ quy trình cai nghiện theo quy định của Luật này, bao gồm cơ sở cai nghiện ma túy công lập và cơ sở cai nghiện ma túy tự nguyện.","LUẬT PHÒNG, CHỐNG MA TÚY"
"Điều 3. Chính sách của Nhà nước về phòng, chống ma túy. 1. Thực hiện đồng bộ các biện pháp phòng, chống ma túy; kết hợp với phòng, chống HIV/AIDS và các tệ nạn xã hội khác. 2. Tăng cường hoạt động tuyên truyền, giáo dục về công tác phòng, chống ma túy; khuyến khích tổ chức, cá nhân tham gia tuyên truyền, giáo dục phòng, chống ma túy. 3. Ưu tiên nguồn lực phòng, chống ma túy cho vùng đồng bào dân tộc thiểu số và miền núi, vùng sâu, vùng xa, hải đảo, khu vực biên giới và địa bàn phức tạp về ma túy. 4. Cán bộ, chiến sĩ thuộc cơ quan chuyên trách phòng, chống tội phạm về ma túy, người làm công tác cai nghiện ma túy trong các cơ sở cai nghiện ma túy công lập được hưởng chế độ, chính sách ưu đãi phù hợp với tính chất nhiệm vụ, địa bàn hoạt động theo quy định của Chính phủ. 5. Bảo vệ, hỗ trợ cá nhân, gia đình, cơ quan, tổ chức tham gia phòng, chống ma túy. 6. Quản lý chặt chẽ người sử dụng trái phép chất ma túy, người nghiện ma túy; khuyến khích người nghiện ma túy tự nguyện cai nghiện ma túy, điều trị nghiện các chất dạng thuốc phiện bằng thuốc thay thế; khuyến khích cá nhân, gia đình, cơ quan, tổ chức tham gia, hỗ trợ hoạt động cai nghiện ma túy, quản lý sau cai nghiện ma túy. 7. Bảo đảm kinh phí cai nghiện ma túy bắt buộc; hỗ trợ kinh phí cai nghiện ma túy tự nguyện, kinh phí quản lý sau cai nghiện ma túy. 8. Tổ chức, cá nhân trong nước và ngoài nước đầu tư vào hoạt động cai nghiện ma túy, hỗ trợ quản lý sau cai nghiện ma túy, phòng, chống tái nghiện ma túy được miễn, giảm tiền thuê đất, thuế thu nhập doanh nghiệp theo quy định của pháp luật. 9. Khuyến khích nghiên cứu khoa học, phát triển công nghệ và ứng dụng công nghệ cao trong phòng, chống ma túy. 10. Khen thưởng cá nhân, tổ chức, cơ quan có thành tích trong phòng, chống ma túy.","LUẬT PHÒNG, CHỐNG MA TÚY"
"Điều 4. Nguồn tài chính cho phòng, chống ma túy. 1. Ngân sách nhà nước. 2. Nguồn tài trợ, viện trợ, đầu tư, tặng cho của tổ chức, cá nhân trong nước và ngoài nước. 3. Chi trả của gia đình, người nghiện ma túy. 4. Các nguồn tài chính hợp pháp khác.","LUẬT PHÒNG, CHỐNG MA TÚY"
"Điều 5. Các hành vi bị nghiêm cấm. 1. Trồng cây có chứa chất ma túy, hướng dẫn trồng cây có chứa chất ma túy. 2. Nghiên cứu, giám định, kiểm nghiệm, kiểm định, sản xuất, tàng trữ, vận chuyển, bảo quản, tồn trữ, mua bán, phân phối, xử lý, trao đổi, xuất khẩu, nhập khẩu, tạm nhập, tái xuất, tạm xuất, tái nhập, quá cảnh trái phép chất ma túy, tiền chất, thuốc gây nghiện, thuốc hướng thần, thuốc tiền chất, nguyên liệu làm thuốc là dược chất gây nghiện, dược chất hướng thần, tiền chất dùng làm thuốc, thuốc thú y có chứa chất ma túy, tiền chất. 3. Chiếm đoạt chất ma túy, tiền chất, thuốc gây nghiện, thuốc hướng thần, thuốc tiền chất, nguyên liệu làm thuốc là dược chất gây nghiện, dược chất hướng thần, tiền chất dùng làm thuốc, thuốc thú y có chứa chất ma túy, tiền chất. 4. Giao nhận, quản lý, kiểm soát, lưu giữ, cấp phát, bảo quản chất ma túy, tiền chất trái quy định của pháp luật; cho phép người sử dụng chất ma túy, thuốc gây nghiện hoặc thuốc hướng thần trái quy định của pháp luật. 5. Sử dụng, tổ chức sử dụng trái phép chất ma túy; cưỡng bức, lôi kéo người khác sử dụng trái phép chất ma túy; chứa chấp, hỗ trợ việc sử dụng trái phép chất ma túy. 6. Sản xuất, tàng trữ, vận chuyển, mua bán phương tiện, dụng cụ dùng vào việc sản xuất hoặc sử dụng trái phép chất ma túy. 7. Chống lại hoặc cản trở việc xét nghiệm chất ma túy trong cơ thể, xác định tình trạng nghiện ma túy, quản lý người sử dụng trái phép chất ma túy, cai nghiện ma túy, quản lý sau cai nghiện ma túy. 8. Trả thù hoặc cản trở người thực thi nhiệm vụ phòng, chống ma túy, người tham gia phòng, chống ma túy. 9. Lợi dụng chức vụ, quyền hạn, nghề nghiệp để vi phạm pháp luật về phòng, chống ma túy. 10. Hướng dẫn sản xuất, hướng dẫn sử dụng trái phép chất ma túy; quảng cáo, tiếp thị chất ma túy. 11. Kỳ thị người sử dụng trái phép chất ma túy, người cai nghiện ma túy, người sau cai nghiện ma túy. 12. Các hành vi bị nghiêm cấm khác do luật định liên quan đến ma túy.","LUẬT PHÒNG, CHỐNG MA TÚY"
"Điều 6. Trách nhiệm của cá nhân, gia đình. 1. Tuyên truyền, giáo dục thành viên trong gia đình, người thân về tác hại của ma túy và thực hiện quy định của pháp luật về phòng, chống ma túy; quản lý, ngăn chặn thành viên trong gia đình vi phạm pháp luật về phòng, chống ma túy. 2. Thực hiện đúng chỉ định của người có thẩm quyền về sử dụng thuốc gây nghiện, thuốc hướng thần, thuốc tiền chất, thuốc thú y có chứa chất ma túy, tiền chất. 3. Hợp tác với cơ quan chức năng trong đấu tranh với tội phạm và tệ nạn ma túy; tham gia hỗ trợ hoạt động cai nghiện ma túy tự nguyện tại gia đình, cộng đồng, cai nghiện ma túy tại cơ sở cai nghiện ma túy và điều trị nghiện các chất dạng thuốc phiện bằng thuốc thay thế; theo dõi, giúp đỡ người sau cai nghiện ma túy hòa nhập cộng đồng; phòng, chống tái nghiện ma túy. 4. Cung cấp kịp thời thông tin về tội phạm, tệ nạn ma túy và việc trồng cây có chứa chất ma túy cho cơ quan công an hoặc cơ quan nhà nước có thẩm quyền; tham gia xóa bỏ cây có chứa chất ma túy do chính quyền địa phương tổ chức.","LUẬT PHÒNG, CHỐNG MA TÚY"
"Điều 7. Trách nhiệm của cơ quan nhà nước. 1. Tổ chức phòng, chống ma túy trong cơ quan, đơn vị; phòng ngừa, ngăn chặn cán bộ, công chức, viên chức, người lao động thuộc quyền quản lý và cán bộ, chiến sĩ thuộc lực lượng vũ trang nhân dân vi phạm pháp luật về phòng, chống ma túy; tuyên truyền, vận động Nhân dân phát hiện, tố giác, đấu tranh với tội phạm và tệ nạn ma túy. 2. Tổ chức thực hiện chủ trương, chính sách của Nhà nước về quy hoạch, phát triển kinh tế - xã hội để thay thế việc trồng cây có chứa chất ma túy tại các vùng xóa bỏ cây có chứa chất ma túy.","LUẬT PHÒNG, CHỐNG MA TÚY"
"Điều 8. Trách nhiệm của cơ sở giáo dục. 1. Tổ chức thực hiện chương trình giáo dục về phòng, chống ma túy; phổ biến, giáo dục pháp luật về phòng, chống ma túy cho học sinh, sinh viên, học viên; quản lý chặt chẽ, ngăn chặn học sinh, sinh viên, học viên vi phạm pháp luật về phòng, chống ma túy. 2. Phối hợp với gia đình, cơ quan, tổ chức và chính quyền địa phương để quản lý, giáo dục học sinh, sinh viên, học viên về phòng, chống ma túy. 3. Phối hợp với cơ quan, tổ chức, cá nhân có thẩm quyền tổ chức xét nghiệm chất ma túy trong cơ thể khi cần thiết để phát hiện học sinh, sinh viên, học viên sử dụng trái phép chất ma túy.","LUẬT PHÒNG, CHỐNG MA TÚY"
"Điều 9. Trách nhiệm của cơ quan báo chí. Cơ quan báo chí có trách nhiệm phối hợp với cơ quan, tổ chức có liên quan tuyên truyền chủ trương, chính sách, pháp luật về phòng, chống ma túy.","LUẬT PHÒNG, CHỐNG MA TÚY"
"Điều 10. Trách nhiệm của Mặt trận Tổ quốc Việt Nam, các tổ chức thành viên của Mặt trận và tổ chức khác. 1. Tổ chức và phối hợp với cơ quan có thẩm quyền tuyên truyền, phổ biến kiến thức, pháp luật về phòng, chống ma túy trong Nhân dân; vận động Nhân dân tham gia phòng, chống ma túy và thực hiện các phong trào phòng, chống ma túy. 2. Phòng ngừa, ngăn chặn người của tổ chức mình và mọi công dân vi phạm pháp luật về phòng, chống ma túy. 3. Phối hợp với chính quyền địa phương các cấp, cơ quan có thẩm quyền vận động người nghiện ma túy thực hiện biện pháp cai nghiện ma túy, điều trị nghiện các chất dạng thuốc phiện bằng thuốc thay thế; tham gia cảm hóa, giáo dục, dạy nghề, tìm việc làm và giúp đỡ người sau cai nghiện ma túy hòa nhập cộng đồng; phòng, chống tái nghiện ma túy.","LUẬT PHÒNG, CHỐNG MA TÚY"
